time,lon,lat,ETP
2021-07-25,11.52,3.87,2.1350000000000002
2021-07-25,13.4,9.3,4.336
2021-07-26,11.52,3.87,3.376
2021-07-26,13.4,9.3,3.172
2021-07-27,11.52,3.87,3.2520000000000002
2021-07-27,13.4,9.3,3.0420000000000003
2021-07-28,11.52,3.87,3.472
2021-07-28,13.4,9.3,2.06
2021-07-29,11.52,3.87,3.189
2021-07-29,13.4,9.3,2.021
2021-07-30,11.52,3.87,3.165
2021-07-30,13.4,9.3,3.424
2021-07-31,11.52,3.87,2.32
2021-07-31,13.4,9.3,1.849
2021-08-01,11.52,3.87,1.951
2021-08-01,13.4,9.3,3.6350000000000002
2021-08-02,11.52,3.87,1.992
2021-08-02,13.4,9.3,3.9210000000000003
2021-08-03,11.52,3.87,2.8770000000000002
2021-08-03,13.4,9.3,3.165
2021-08-04,11.52,3.87,3.145
2021-08-04,13.4,9.3,3.527
2021-08-05,11.52,3.87,2.368
2021-08-05,13.4,9.3,3.732
2021-08-06,11.52,3.87,1.7670000000000001
2021-08-06,13.4,9.3,2.336
2021-08-07,11.52,3.87,2.918
2021-08-07,13.4,9.3,2.83
2021-08-08,11.52,3.87,2.371
2021-08-08,13.4,9.3,1.729
2021-08-09,11.52,3.87,2.791
2021-08-09,13.4,9.3,2.857
2021-08-10,11.52,3.87,3.38
2021-08-10,13.4,9.3,4.131
2021-08-11,11.52,3.87,1.989
2021-08-11,13.4,9.3,3.975
2021-08-12,11.52,3.87,1.823
2021-08-12,13.4,9.3,1.959
2021-08-13,11.52,3.87,3.887
2021-08-13,13.4,9.3,3.985
2021-08-14,11.52,3.87,2.462
2021-08-14,13.4,9.3,3.587
2021-08-15,11.52,3.87,2.867
2021-08-15,13.4,9.3,3.724
2021-08-16,11.52,3.87,1.213
2021-08-16,13.4,9.3,4.0440000000000005
2021-08-17,11.52,3.87,1.1420000000000001
2021-08-17,13.4,9.3,3.4050000000000002
2021-08-18,11.52,3.87,2.774
2021-08-18,13.4,9.3,2.261
2021-08-19,11.52,3.87,2.169
2021-08-19,13.4,9.3,2.4130000000000003
2021-08-20,11.52,3.87,1.7770000000000001
2021-08-20,13.4,9.3,4.383
2021-08-21,11.52,3.87,1.6500000000000001
2021-08-21,13.4,9.3,4.554
2021-08-22,11.52,3.87,2.656
2021-08-22,13.4,9.3,2.931
2021-08-23,11.52,3.87,2.942
2021-08-23,13.4,9.3,5.3100000000000005
2021-08-24,11.52,3.87,2.241
2021-08-24,13.4,9.3,4.918
2021-08-25,11.52,3.87,2.067
2021-08-25,13.4,9.3,1.754
2021-08-26,11.52,3.87,2.6470000000000002
2021-08-26,13.4,9.3,5.085
2021-08-27,11.52,3.87,2.826
2021-08-27,13.4,9.3,5.4590000000000005
2021-08-28,11.52,3.87,1.6260000000000001
2021-08-28,13.4,9.3,1.557
2021-08-29,11.52,3.87,2.091
2021-08-29,13.4,9.3,3.7600000000000002
2021-08-30,11.52,3.87,2.892
2021-08-30,13.4,9.3,3.267
2021-08-31,11.52,3.87,3.432
2021-08-31,13.4,9.3,5.331
2021-09-01,11.52,3.87,3.228
2021-09-01,13.4,9.3,4.164
2021-09-02,11.52,3.87,2.235
2021-09-02,13.4,9.3,3.2520000000000002
2021-09-03,11.52,3.87,1.0
2021-09-03,13.4,9.3,4.508
2021-09-04,11.52,3.87,2.794
2021-09-04,13.4,9.3,2.96
2021-09-05,11.52,3.87,3.136
2021-09-05,13.4,9.3,5.042
2021-09-06,11.52,3.87,1.5330000000000001
2021-09-06,13.4,9.3,4.18
2021-09-07,11.52,3.87,3.6870000000000003
2021-09-07,13.4,9.3,5.424
2021-09-08,11.52,3.87,1.8780000000000001
2021-09-08,13.4,9.3,5.284
2021-09-09,11.52,3.87,3.383
2021-09-09,13.4,9.3,3.759
2021-09-10,11.52,3.87,4.03
2021-09-10,13.4,9.3,3.003
2021-09-11,11.52,3.87,3.3000000000000003
2021-09-11,13.4,9.3,3.121
2021-09-12,11.52,3.87,2.207
2021-09-12,13.4,9.3,3.826
2021-09-13,11.52,3.87,3.755
2021-09-13,13.4,9.3,3.759
2021-09-14,11.52,3.87,2.193
2021-09-14,13.4,9.3,3.636
2021-09-15,11.52,3.87,4.197
2021-09-15,13.4,9.3,5.401
2021-09-16,11.52,3.87,2.521
2021-09-16,13.4,9.3,5.7860000000000005
2021-09-17,11.52,3.87,1.722
2021-09-17,13.4,9.3,3.7720000000000002
2021-09-18,11.52,3.87,2.348
2021-09-18,13.4,9.3,4.998
2021-09-19,11.52,3.87,3.424
2021-09-19,13.4,9.3,4.788
2021-09-20,11.52,3.87,2.1470000000000002
2021-09-20,13.4,9.3,3.613
2021-09-21,11.52,3.87,2.575
2021-09-21,13.4,9.3,4.498
2021-09-22,11.52,3.87,2.438
2021-09-22,13.4,9.3,3.5620000000000003
2021-09-23,11.52,3.87,2.975
2021-09-23,13.4,9.3,4.521
2021-09-24,11.52,3.87,2.134
2021-09-24,13.4,9.3,5.289
2021-09-25,11.52,3.87,2.204
2021-09-25,13.4,9.3,5.098
2021-09-26,11.52,3.87,2.911
2021-09-26,13.4,9.3,5.3870000000000005
2021-09-27,11.52,3.87,3.533
2021-09-27,13.4,9.3,4.9110000000000005
2021-09-28,11.52,3.87,2.818
2021-09-28,13.4,9.3,4.98
2021-09-29,11.52,3.87,2.199
2021-09-29,13.4,9.3,2.691
2021-09-30,11.52,3.87,3.068
2021-09-30,13.4,9.3,5.279
2021-10-01,11.52,3.87,1.443
2021-10-01,13.4,9.3,5.003
2021-10-02,11.52,3.87,3.204
2021-10-02,13.4,9.3,4.937
2021-10-03,11.52,3.87,3.364
2021-10-03,13.4,9.3,5.226
2021-10-04,11.52,3.87,4.088
2021-10-04,13.4,9.3,4.343
2021-10-05,11.52,3.87,3.467
2021-10-05,13.4,9.3,4.979
2021-10-06,11.52,3.87,3.343
2021-10-06,13.4,9.3,4.184
2021-10-07,11.52,3.87,2.032
2021-10-07,13.4,9.3,4.6000000000000005
2021-10-08,11.52,3.87,3.717
2021-10-08,13.4,9.3,4.362
2021-10-09,11.52,3.87,1.943
2021-10-09,13.4,9.3,4.941
2021-10-10,11.52,3.87,1.117
2021-10-10,13.4,9.3,3.985
2021-10-11,11.52,3.87,2.699
2021-10-11,13.4,9.3,4.404
2021-10-12,11.52,3.87,3.3970000000000002
2021-10-12,13.4,9.3,4.246
2021-10-13,11.52,3.87,3.064
2021-10-13,13.4,9.3,4.516
2021-10-14,11.52,3.87,3.8280000000000003
2021-10-14,13.4,9.3,4.44
2021-10-15,11.52,3.87,4.047
2021-10-15,13.4,9.3,3.557
2021-10-16,11.52,3.87,2.426
2021-10-16,13.4,9.3,1.227
2021-10-17,11.52,3.87,3.166
2021-10-17,13.4,9.3,3.36
2021-10-18,11.52,3.87,2.794
2021-10-18,13.4,9.3,3.895
2021-10-19,11.52,3.87,2.199
2021-10-19,13.4,9.3,3.731
2021-10-20,11.52,3.87,2.583
2021-10-20,13.4,9.3,2.7920000000000003
2021-10-21,11.52,3.87,2.734
2021-10-21,13.4,9.3,3.207
2021-10-22,11.52,3.87,1.576
